
Добавление 8631 заняло 789542 нс, 1 операций
Добавление 2211 заняло 11625 нс, 1 операций
Добавление 8078 заняло 7541 нс, 14 операций
Добавление 7003 заняло 2833 нс, 5 операций
Добавление 542 заняло 3750 нс, 10 операций
Добавление 1491 заняло 3167 нс, 5 операций
Добавление 864 заняло 5000 нс, 23 операций
Добавление 2722 заняло 2750 нс, 1 операций
Добавление 128 заняло 2333 нс, 1 операций
Добавление 1157 заняло 2667 нс, 1 операций
Добавление 2302 заняло 4000 нс, 10 операций
Добавление 6489 заняло 3667 нс, 1 операций
Добавление 4536 заняло 5417 нс, 27 операций
Добавление 2493 заняло 3458 нс, 5 операций
Добавление 5817 заняло 3625 нс, 5 операций
Добавление 2084 заняло 4333 нс, 10 операций
Добавление 950 заняло 3542 нс, 1 операций
Добавление 2306 заняло 4416 нс, 14 операций
Добавление 7103 заняло 1625 нс, 5 операций
Добавление 7841 заняло 1333 нс, 6 операций
Добавление 126 заняло 2166 нс, 28 операций
Добавление 1223 заняло 2334 нс, 6 операций
Добавление 5332 заняло 2584 нс, 19 операций
Добавление 5684 заняло 1583 нс, 1 операций
Добавление 8703 заняло 1500 нс, 5 операций
Добавление 9282 заняло 1709 нс, 20 операций
Добавление 3874 заняло 1167 нс, 1 операций
Добавление 3440 заняло 3541 нс, 10 операций
Добавление 9841 заняло 1583 нс, 5 операций
Добавление 2330 заняло 6333 нс, 1 операций
Добавление 407 заняло 1667 нс, 1 операций
Добавление 6479 заняло 2250 нс, 15 операций
Добавление 3192 заняло 1584 нс, 1 операций
Добавление 3202 заняло 2166 нс, 14 операций
Добавление 1741 заняло 1292 нс, 1 операций
Добавление 3630 заняло 2125 нс, 5 операций
Добавление 6597 заняло 917 нс, 1 операций
Добавление 7804 заняло 917 нс, 1 операций
Добавление 472 заняло 1833 нс, 18 операций
Добавление 4104 заняло 1500 нс, 1 операций
Добавление 9339 заняло 2125 нс, 18 операций
Добавление 2428 заняло 2041 нс, 18 операций
Добавление 88 заняло 1292 нс, 1 операций
Добавление 4493 заняло 2583 нс, 45 операций
Добавление 5199 заняло 1125 нс, 5 операций
Добавление 2938 заняло 5875 нс, 1 операций
Добавление 4205 заняло 1042 нс, 5 операций
Добавление 8799 заняло 1500 нс, 1 операций
Добавление 824 заняло 1167 нс, 5 операций
Добавление 3859 заняло 1333 нс, 10 операций
Добавление 8106 заняло 1209 нс, 1 операций
Добавление 4937 заняло 2292 нс, 18 операций
Добавление 1414 заняло 1417 нс, 5 операций
Добавление 3245 заняло 1250 нс, 1 операций
Добавление 9827 заняло 1167 нс, 1 операций
Добавление 7501 заняло 1708 нс, 14 операций
Добавление 1248 заняло 2459 нс, 31 операций
Добавление 3861 заняло 1167 нс, 5 операций
Добавление 8960 заняло 2167 нс, 31 операций
Добавление 2536 заняло 1125 нс, 5 операций
Добавление 485 заняло 2166 нс, 24 операций
Добавление 5207 заняло 1459 нс, 5 операций
Добавление 6468 заняло 1000 нс, 1 операций
Добавление 5747 заняло 1125 нс, 5 операций
Добавление 6900 заняло 2542 нс, 36 операций
Добавление 3225 заняло 2334 нс, 27 операций
Добавление 1239 заняло 1542 нс, 5 операций
Добавление 8553 заняло 1708 нс, 14 операций
Добавление 7895 заняло 1333 нс, 5 операций
Добавление 1381 заняло 1208 нс, 1 операций
Добавление 2254 заняло 1458 нс, 1 операций
Добавление 7712 заняло 1708 нс, 5 операций
Добавление 2442 заняло 2250 нс, 29 операций
Добавление 1024 заняло 1250 нс, 5 операций
Добавление 7421 заняло 1625 нс, 10 операций
Добавление 4262 заняло 2208 нс, 15 операций
Добавление 7482 заняло 1625 нс, 5 операций
Добавление 9100 заняло 1209 нс, 1 операций
Добавление 5571 заняло 1750 нс, 10 операций
Добавление 5306 заняло 1750 нс, 10 операций
Добавление 8664 заняло 1667 нс, 5 операций
Добавление 5990 заняло 2583 нс, 34 операций
Добавление 4595 заняло 9791 нс, 5 операций
Добавление 8739 заняло 1584 нс, 1 операций
Добавление 5436 заняло 1166 нс, 1 операций
Добавление 4765 заняло 2583 нс, 19 операций
Добавление 7203 заняло 2083 нс, 23 операций
Добавление 5249 заняло 1333 нс, 1 операций
Добавление 3574 заняло 1334 нс, 5 операций
Добавление 4080 заняло 1583 нс, 1 операций
Добавление 397 заняло 1083 нс, 1 операций
Добавление 6798 заняло 1416 нс, 5 операций
Добавление 6096 заняло 1292 нс, 5 операций
Добавление 3890 заняло 1791 нс, 10 операций
Добавление 3811 заняло 2000 нс, 14 операций
Добавление 8833 заняло 1666 нс, 11 операций
Добавление 7232 заняло 1500 нс, 5 операций
Добавление 46 заняло 1667 нс, 10 операций
Добавление 7983 заняло 1500 нс, 10 операций
Добавление 4271 заняло 1916 нс, 5 операций
Добавление 3466 заняло 2167 нс, 27 операций
Добавление 4816 заняло 1458 нс, 5 операций
Добавление 9032 заняло 1625 нс, 10 операций
Добавление 2654 заняло 1292 нс, 5 операций
